classnum blue green red nir swir1 swir2 BUI BSI NBI EVI NDWI MSAVI sdev edev bcdev
112.0000 459.5073 694.1808 762.2391 2500.7289 2149.4956 1312.9096 -0.6093 -0.0095 1.1669 0.3190 -0.5653 0.2866 0.0094 0.0634 0.0778
112.0000 544.1871 726.9279 876.0455 1898.4791 2441.7206 2079.5095 -0.2370 0.1529 1.7705 0.1947 -0.4425 0.1687 0.0035 0.0816 0.0932
112.0000 550.2893 702.4987 845.9683 1716.6980 2644.3579 2135.9797 -0.1262 0.2125 2.0369 0.1716 -0.4184 0.1453 0.0124 0.1026 0.1088
112.0000 535.4021 782.0608 983.8531 2462.6320 2725.1543 1639.9852 -0.3795 0.1051 1.5103 0.2576 -0.5180 0.2352 0.0027 0.0572 0.0645
112.0000 524.5235 771.0277 918.7202 2633.2659 2192.4183 1278.7590 -0.5701 -0.0062 1.1919 0.3010 -0.5452 0.2732 0.0035 0.0559 0.0685
112.0000 535.5817 744.5888 883.5659 2347.5360 2061.7821 1314.2355 -0.5149 0.0111 1.2628 0.2681 -0.5166 0.2375 0.0078 0.0597 0.0682
112.0000 579.5228 825.5044 1042.8032 2608.5329 2875.7956 1639.0930 -0.3805 0.1024 1.5063 0.2698 -0.5191 0.2454 0.0044 0.0668 0.0669
112.0000 695.7030 993.4343 1367.3091 2767.8525 3687.8990 2344.1980 -0.1963 0.1868 1.8279 0.2225 -0.4718 0.2083 0.0017 0.0578 0.0505
112.0000 700.8494 969.5580 1241.3654 2353.8148 3076.1259 2406.9556 -0.1775 0.1708 1.8387 0.1914 -0.4171 0.1714 0.0023 0.0660 0.0625
112.0000 737.5153 1035.3423 1378.3926 2604.7288 3215.9167 2418.4233 -0.2022 0.1576 1.7699 0.1996 -0.4304 0.1833 0.0016 0.0650 0.0592
112.0000 749.6912 1034.8244 1370.6289 2531.0397 3452.7365 2609.9462 -0.1432 0.1903 1.9086 0.1917 -0.4191 0.1742 0.0018 0.0621 0.0556
112.0000 684.8075 979.5302 1379.4620 2779.7242 3074.3635 1890.2451 -0.2867 0.1247 1.6035 0.2199 -0.4787 0.2077 0.0015 0.0590 0.0564
112.0000 627.4071 907.0355 1174.1612 2837.7760 2707.6967 1576.2077 -0.4388 0.0559 1.3706 0.2746 -0.5153 0.2534 0.0022 0.0693 0.0724
112.0000 646.6999 877.4671 1100.4466 2498.9766 2951.1654 1990.1508 -0.3057 0.1256 1.6227 0.2453 -0.4801 0.2183 0.0020 0.0634 0.0639
112.0000 515.1043 737.7487 841.3607 2519.8120 2275.3949 1423.1538 -0.5509 0.0121 1.2419 0.3063 -0.5466 0.2728 0.0065 0.0743 0.0913
